fecha;servicios
21/03/2021;532
22/03/2021;619
23/03/2021;810
24/03/2021;720
25/03/2021;712
26/03/2021;702
27/03/2021;552
28/03/2021;599
29/03/2021;761
30/03/2021;703
31/03/2021;583
01/04/2021;531
02/04/2021;512
03/04/2021;612
04/04/2021;715
05/04/2021;880
06/04/2021;811
07/04/2021;757
08/04/2021;752
09/04/2021;699
10/04/2021;722
11/04/2021;645
12/04/2021;852
13/04/2021;726
14/04/2021;794
15/04/2021;709
16/04/2021;772
17/04/2021;674
18/04/2021;680
19/04/2021;862
20/04/2021;775
21/04/2021;814
22/04/2021;779
23/04/2021;786
24/04/2021;651
25/04/2021;681
26/04/2021;882
27/04/2021;780
28/04/2021;687
29/04/2021;751
30/04/2021;693
01/05/2021;652
