fecha;servicios
18/02/2021;1173
19/02/2021;1086
20/02/2021;1049
21/02/2021;1065
22/02/2021;1334
23/02/2021;1246
24/02/2021;1184
25/02/2021;1306
26/02/2021;1186
27/02/2021;1040
28/02/2021;1141
1/03/2021;1306
2/03/2021;1218
3/03/2021;1216
4/03/2021;1254
5/03/2021;1166
6/03/2021;1059
7/03/2021;1121
8/03/2021;1286
9/03/2021;1213
10/03/2021;1268
11/03/2021;1162
12/03/2021;1115
13/03/2021;1043
14/03/2021;1106
15/03/2021;1295
16/03/2021;1233
17/03/2021;1215
18/03/2021;1207
19/03/2021;1179
20/03/2021;1070
21/03/2021;1062
22/03/2021;1211
23/03/2021;1395
24/03/2021;1353
25/03/2021;1329
26/03/2021;1284
27/03/2021;1198
28/03/2021;1232
29/03/2021;1436
30/03/2021;1388
31/03/2021;1321
1/04/2021;1166
2/04/2021;1171
3/04/2021;1138
4/04/2021;1299
5/04/2021;1427
6/04/2021;1403
7/04/2021;1358
8/04/2021;1330
9/04/2021;1277
10/04/2021;1145
11/04/2021;1378
12/04/2021;1441
13/04/2021;1322
14/04/2021;1326
15/04/2021;1268
16/04/2021;1254
17/04/2021;1239
18/04/2021;1227
19/04/2021;1402
20/04/2021;1358
21/04/2021;1313
22/04/2021;1291
23/04/2021;1219
24/04/2021;1241
25/04/2021;1253
26/04/2021;1294
27/04/2021;1189
28/04/2021;1235
